Period,Quarter,Recipient Name,City,Province,Country,Title,Language,Genre,Date,Final Value,Original Value,Type,Purpose,Comments
2009-2010,P1,"Bezaire, Theodore",Toronto,Ontario,Canada,Down the 401,English,Mystery/Crime/Police,2009-06-29,13822.00,13822.00,Recoupable Advance,Development Program,
2009-2010,P1,Fugitive Interactive Inc.,Saint-Laurent,Quebec,Canada,Rallye Mania,French,Games,2009-06-30,75881.00,90296.00,Recoupable Advance,Production Program (Canada New Media Fund),Amended contract signed  23-SEP-08
2009-2010,P1,"Ferguson, Ross",Vancouver,British Columbia,Canada,Dark Continent,English,Mystery/Crime/Police,2009-06-30,13822.00,13822.00,Recoupable Advance,Development Program,
2009-2010,P1,GRTR Productions (Muse) Inc.,Montreal,Quebec,Canada,ROCKSTEADY:THE ROOTS OF REGGAE,English,Documentary,2009-06-30,50000.00,50000.00,Recoupable Advance,Marketing Program,
2009-2010,P2,9012-6640 Québec inc. (K-Films Amérique),Montreal,Quebec,Canada,RÊVES DE POUSSIÈRE,French,Drama (Film),2009-07-02,22461.00,46871.00,Recoupable Advance,Marketing Program,Amended contract signed  02-MAR-07
2009-2010,P2,Alliance Vivafilm Inc.,Montreal,Quebec,Canada,GRANDE OURSE - LA CLÉ DES POSSIBLES,French,Drama (Film),2009-07-02,14200.00,14200.00,Recoupable Advance,Marketing Program,
2009-2010,P2,Alliance Vivafilm Inc.,Montreal,Quebec,Canada,De père en flic,French,Drama (Film),2009-07-02,14200.00,14200.00,Recoupable Advance,Marketing Program,
2009-2010,P2,Alliance Vivafilm Inc.,Montreal,Quebec,Canada,STONE OF DESTINY (THE),English,Historical Drama,2009-07-02,36480.00,36480.00,Recoupable Advance,Marketing Program,
2009-2010,P2,LE POIL DE LA BÊTE INC.,Montreal,Quebec,Canada,Poil de la bête (Le),French,Action/Adventure,2009-07-02,1420000.00,1420000.00,Investment,Production Program,
2009-2010,P2,Couzin Films Inc.,Montreal,Quebec,Canada,Housekeeper ,English,Comedy,2009-07-06,32500.00,15000.00,Recoupable Advance,Development Program,Amended contract signed  06-JUN-07
2009-2010,P2,"Garrity, Sean",Toronto,Ontario,Canada,Snap,English,Thriller,2009-07-07,13822.00,13822.00,Recoupable Advance,Development Program,
2009-2010,P2,"St. John's International Women's Film Festival, Inc.",St. John's,Newfoundland/Labrador,Canada,20th Annual St.John's International Women's Film & Video Festival (2009),English,N/A,2009-07-07,30000.00,30000.00,"Grant, Contribution",Promotion Program,
2009-2010,P2,Banff Television Festival Foundation,Toronto,Ontario,Canada,Banff World Television Festival - International Content Market  - 2009,English,N/A,2009-07-07,200000.00,200000.00,Grant,Promotion Program (Canada New Media Fund),
2009-2010,P2,Pope Productions Ltd.,St. John's,Newfoundland/Labrador,Canada,Newfoundland Beat Down,English,Comedy,2009-07-08,31506.00,18196.00,Recoupable Advance,Development Program,Amended contract signed  23-JAN-08
2009-2010,P2,Mutant Films Inc.,Vancouver,British Columbia,Canada,Gods of Youth,English,Drama (Film),2009-07-08,100000.00,100000.00,Recoupable Advance,Production Program,
2009-2010,P2,Transfilm Inc.,Montreal,Quebec,Canada,SALT,English,Romantic Comedy,2009-07-09,188080.00,150000.00,Recoupable Advance,Development Program,Amended contract signed  29-JAN-08
2009-2010,P2,Les Productions La Fête Inc.,Montreal,Quebec,Canada,Cargo pour l'afrique (Un) (aka SONT OÙ TES ÉLÉPHANTS),French,Action/Adventure,2009-07-09,37800.00,37800.00,Recoupable Advance,Marketing Program,
2009-2010,P2,Crackie Productions Inc.,St. John's,Newfoundland/Labrador,Canada,Crackie,English,Drama (Film),2009-07-09,50000.00,50000.00,Recoupable Advance,Marketing Program,
2009-2010,P2,Productions Totale Fiction Inc.,Montreal,Quebec,Canada,BRUNANTE (LA) (A.K.A. HEURE DE LA BRUNANTE),French,Drama (Film),2009-07-13,648347.00,678400.00,Investment,Production Program,Amended contract signed  15-AUG-06
2009-2010,P2,Overtime Film Productions Ltd.,Toronto,Ontario,Canada,Overtime,English,Action/Adventure,2009-07-13,34697.00,34697.00,Recoupable Advance,Development Program,
2009-2010,P2,Free Spirit Films Inc. ,Toronto,Ontario,Canada,Baby Formula (The),English,Drama (Film),2009-07-13,43000.00,43000.00,Recoupable Advance,Marketing Program,
2009-2010,P2,Zoofilms Inc.,Mansonville,Quebec,Canada,VIE QUI BAT (LA),French,Comedy,2009-07-14,48840.00,27048.00,Recoupable Advance,Development Program,Amended contract signed  23-JUL-97
2009-2010,P2,Wizzfilms Inc.,Montreal,Quebec,Canada,MAÏNA,French,Drama (Film),2009-07-15,15000.00,15000.00,Recoupable Advance,Development Program,
2009-2010,P2,Front Street Pictures Inc.,Vancouver,British Columbia,Canada,Hangman (The),English,Historical Drama,2009-07-16,31526.00,10000.00,Recoupable Advance,Development Program,Amended contract signed  23-OCT-08
2009-2010,P2,Screen Siren Pictures Inc.,Vancouver,British Columbia,Canada,To the Wedding,English,Drama (Film),2009-07-16,54880.00,25000.00,Recoupable Advance,Development Program,Amended contract signed  24-JAN-08
2009-2010,P2,Films Rumi inc. (Les),Montreal,Quebec,Canada,Mère porteuse musulmane,French,Drama (Film),2009-07-16,11822.00,11822.00,Recoupable Advance,Development Program,
2009-2010,P2,PUNK Films Inc.,Toronto,Ontario,Canada,Modra,English,Drama (Film),2009-07-16,135000.00,135000.00,Recoupable Advance,Production Program,
2009-2010,P2,Zoofilms Inc.,Mansonville,Quebec,Canada,Stella (Légaré),French,Sci.fi./Fantasy/Tale,2009-07-16,10000.00,10000.00,Recoupable Advance,Development Program,
2009-2010,P2,PUNK Films Inc.,Toronto,Ontario,Canada,"Diary of Laura's Twin, The",English,Drama (Film),2009-07-17,25000.00,25000.00,Recoupable Advance,Development Program,
2009-2010,P2,Productions Thalie Inc.,Quebec,Quebec,Canada,Manon Lescaut,French,Drama,2009-07-20,33054.00,33054.00,Recoupable Advance,Mini-treaties,
2009-2010,P2,Slewfoot Productions Inc.,Vancouver,British Columbia,Canada,"""Excited (AKA """"Man Makes Move"""")""",English,Romantic Comedy,2009-07-20,200000.00,200000.00,Recoupable Advance,Production Program,
2009-2010,P2,Productions Castor & Pollux Inc. (les),Montreal,Quebec,Canada,Michel et Sylvie,French,Drama (Film),2009-07-22,13822.00,13822.00,Recoupable Advance,Development Program,
2009-2010,P2,"Hazlett, John",Montreal,Quebec,Canada,Summer Game,English,Horror/Thriller,2009-07-22,13822.00,13822.00,Recoupable Advance,Development Program,
2009-2010,P2,FIRST WEEKEND CLUB,North Vancouver,British Columbia,Canada,First Weekend Club 2009,English,N/A,2009-07-22,130000.00,130000.00,Recoupable Advance,Promotion Program,
2009-2010,P2,Foundry Films Inc.,Toronto,Ontario,Canada,Champagne Room (The),English,Drama (Film),2009-07-23,30909.00,30909.00,Recoupable Advance,Development Program,
2009-2010,P2,Filmovie Inc.,Montreal,Quebec,Canada,Huitième ciel,French,Drama (Film),2009-07-23,11822.00,11822.00,Recoupable Advance,Development Program,
2009-2010,P2,"Leckie, Keith Ross",Toronto,Ontario,Canada,Celeste,English,Mystery/Crime/Police,2009-07-24,33872.00,13822.00,Recoupable Advance,Development Program,Amended contract signed  03-NOV-08
2009-2010,P2,Mongrel Media Inc.,Toronto,Ontario,Canada,Growing Op,English,Drama (Film),2009-07-24,25581.00,33008.00,Recoupable Advance,Marketing Program,Amended contract signed  23-JAN-09
2009-2010,P2,First Generation Films Inc.,Toronto,Ontario,Canada,Stowaway (The),English,Mystery/Crime/Police,2009-07-24,46500.00,46500.00,Recoupable Advance,Development Program,
2009-2010,P2,Other Ocean Interactive Limited,Charlottetown,Prince Edward Island,Canada,Puffins Island Adventure,English,Games,2009-07-24,279198.00,279198.00,Recoupable Advance,Marketing Program (Canada New Media Fund),
2009-2010,P2,Etch Media Inc.,Vancouver,British Columbia,Canada,On A Good Day,English,Historical Drama,2009-07-27,22594.00,22594.00,Recoupable Advance,Development Program,
2009-2010,P2,Bight Interactive Inc.,Charlottetown,Prince Edward Island,Canada,Llama Country,English,Games,2009-07-27,56204.00,56204.00,Recoupable Advance,Development Program (Canada New Media Fund),
2009-2010,P2,Corporation Wapikoni Mobile,Montreal,Quebec,Canada,Wapikoni Mobile 2009,French,N/A,2009-07-27,40000.00,40000.00,Contribution,Promotion Program,
2009-2010,P2,Hope of Glory Pictures Ltd.,Burnaby,British Columbia,Canada,Prison Boy,English,Comedy,2009-07-28,21069.00,21069.00,Recoupable Advance,Development Program,
2009-2010,P2,"Nasserdeen, Lewaa",Edmonton,Alberta,Canada,Amateur Hour,English,Comedy,2009-07-28,11822.00,11822.00,Recoupable Advance,Development Program,
2009-2010,P2,"Miles, Terry",Vancouver,British Columbia,Canada,Fakers (Miles),English,Mystery/Crime/Police,2009-07-28,11822.00,11822.00,Recoupable Advance,Development Program,
2009-2010,P2,Canadian Film Centre,Toronto,Ontario,Canada,Canadian Film Centre Worldwide Short Film Festival 2009,English,N/A,2009-07-28,50000.00,50000.00,"Grant, Contribution",Promotion Program,
2009-2010,P2,Entertainment One Films Canada Inc.,Toronto,Ontario,Canada,FierceLight: When Spirit Meets Action,English,Documentary,2009-07-29,56250.00,56250.00,Recoupable Advance,Marketing Program,
2009-2010,P2,"Prégent, Johanne",Outremont,Quebec,Canada,Altitude et attitude,French,Romantic Comedy,2009-07-30,16550.00,16550.00,Recoupable Advance,Development Program,
2009-2010,P2,ODD1 Inc.,Montreal,Quebec,Canada,Skybound,French,Games,2009-07-31,38500.00,38500.00,Recoupable Advance,Development Program (Canada New Media Fund),
2009-2010,P2,Frima Studio Inc.,Quebec,Quebec,Canada,Zombie Tycoon,French,Games,2009-08-03,136242.00,136242.00,Recoupable Advance,Production Program (Canada New Media Fund),
2009-2010,P2,Sarbakan Inc.,Quebec,Quebec,Canada,LAZY RAIDERS (aka DIG IT UP),English,Games,2009-08-03,322435.00,322435.00,Recoupable Advance,Production Program (Canada New Media Fund),
2009-2010,P2,Sarbakan Inc.,Quebec,Quebec,Canada,Résilience,French,Games,2009-08-03,117425.00,117425.00,Recoupable Advance,Development Program (Canada New Media Fund),
2009-2010,P2,Nah Ho Productions Inc.,Whitehorse,Yukon,Canada,Trapper Johnson,English,Action/Adventure,2009-08-04,27366.00,27366.00,Recoupable Advance,Development Program,
2009-2010,P2,Frima Studio Inc.,Quebec,Quebec,Canada,Mise en marché et Localisation de Big Brain Wolf,French,Games,2009-08-04,23030.00,23030.00,Recoupable Advance,Marketing Program (Canada New Media Fund),
2009-2010,P2,Absolunet Inc.,Boisbriand,Quebec,Canada,Funshow II,French,Entertainment,2009-08-04,90810.00,90810.00,Recoupable Advance,Marketing Program (Canada New Media Fund),
2009-2010,P2,RCJ Ontario Inc.,Toronto,Ontario,Canada,Mountie (The),English,Western,2009-08-04,612500.00,612500.00,"Investment, Recoupable Advance",Production Program,
2009-2010,P2,Purpose Films Ltd.,Vancouver,British Columbia,Canada,Yearning (The),English,Western,2009-08-05,18200.00,18200.00,Recoupable Advance,Development Program,
2009-2010,P2,Canadian Film Centre,Toronto,Ontario,Canada,CFC Application,English,N/A,2009-08-05,248000.00,248000.00,Grant,Promotion Program,
2009-2010,P2,Gimli Film Festival Inc. ,Gimli,Manitoba,Canada,Gimli Film Festival 2009,English,N/A,2009-08-05,10000.00,10000.00,Grant,Promotion Program,
2009-2010,P2,Park Sail Productions Limited,Halifax,Nova Scotia,Canada,Madones (The),English,Romantic Comedy,2009-08-06,61828.00,61828.00,Recoupable Advance,Development Program,
2009-2010,P2,TPB Feature Productions Limited,Dartmouth,Nova Scotia,Canada,Afghan Luke: The Burgundy of Hash,English,Drama (Film),2009-08-06,61888.00,61888.00,Recoupable Advance,Development Program,
2009-2010,P2,Susan C. Rynard Inc.,Toronto,Ontario,Canada,Rabbit Foot Bill,English,Drama (Film),2009-08-07,33872.00,13822.00,Recoupable Advance,Development Program,Amended contract signed  13-AUG-08
2009-2010,P2,"Johnston, Ian",Toronto,Ontario,Canada,Mustang Drive-In,English,Romantic Comedy,2009-08-07,16550.00,16550.00,Recoupable Advance,Development Program,
2009-2010,P2,Mongrel Media Inc.,Toronto,Ontario,Canada,Cairo Time,English,Drama (Film),2009-08-07,29700.00,29700.00,Recoupable Advance,Marketing Program,
2009-2010,P2,Short Stop Pictures Ltd.,Halifax,Nova Scotia,Canada,Short Film Face Off (2009),English,N/A,2009-08-07,10000.00,10000.00,Contribution,Promotion Program,
2009-2010,P2,"BFL, Future Inc.",Calgary,Alberta,Canada,Future is Now! (The),English,Drama (Film),2009-08-07,382848.00,382848.00,Investment,Production Program,
2009-2010,P2,Interactive Ontario Industry Association,Toronto,Ontario,Canada,Interactive Ontario - Edinburgh Mission,English,N/A,2009-08-07,5000.00,5000.00,Grant,Promotion Program (Canada New Media Fund),
2009-2010,P2,Lady Hammond Entertainment Inc.,Dartmouth,Nova Scotia,Canada,Relative Happiness,English,Romantic Comedy,2009-08-10,28320.00,17820.00,Recoupable Advance,Development Program,Amended contract signed  03-JUL-07
2009-2010,P2,Serendipity Point Films Inc.,Toronto,Ontario,Canada,Barney's Version,English,Drama (Film),2009-08-10,150000.00,150000.00,Recoupable Advance,Production Program,Amended contract signed  10-JAN-07
2009-2010,P2,Sarrazin Productions Inc.,Toronto,Ontario,Canada,Cold Feet,English,Romantic Comedy,2009-08-10,35000.00,35000.00,Recoupable Advance,Development Program,
2009-2010,P2,B360 Media Inc.,Montreal,Quebec,Canada,Bitchin' Lifestyle,English,Edutainment,2009-08-10,194000.00,194000.00,Recoupable Advance,Marketing Program (Canada New Media Fund),
2009-2010,P2,Other Ocean Interactive Limited,Charlottetown,Prince Edward Island,Canada,"Puffins Episodes 1.2.3!, Nintendo DSi",English,Games,2009-08-10,196907.00,196907.00,Recoupable Advance,Production Program (Canada New Media Fund),
2009-2010,P2,Three Amigos Productions Inc.,Toronto,Ontario,Canada,Barney's Version,English,Drama (Film),2009-08-10,5980421.00,5980421.00,"Investment, Recoupable Advance",Production Program,
2009-2010,P2,Studio Max Films Inc.,Montreal,Quebec,Canada,OUT OF Z,English,Drama (Film),2009-08-11,95392.00,50000.00,Recoupable Advance,Development Program,Amended contract signed  18-JAN-05
2009-2010,P2,Impatient Pictures Ltd.,Nelson,British Columbia,Canada,Damn Cold,English,Comedy,2009-08-11,20000.00,20000.00,Recoupable Advance,Development Program,
2009-2010,P2,"MacLeod, Iain",Pictou,Nova Scotia,Canada,Most Scottish Man in the World (The),English,Comedy,2009-08-11,20050.00,20050.00,Recoupable Advance,Development Program,
2009-2010,P2,Vidéo-Films (Reste Avec Moi) Inc.,Montreal,Quebec,Canada,RESTE AVEC MOI (aka SCENES DE LA VIE),French,Drama (Film),2009-08-11,2282714.00,2282714.00,"Investment, Recoupable Advance",Production Program,
2009-2010,P2,Festival Fantasia,Montreal,Quebec,Canada,Festival Fantasia 2009 (13e),French,N/A,2009-08-12,35000.00,35000.00,Grant,Promotion Program,
2009-2010,P2,Productions 1984 inc.,Montreal,Quebec,Canada,40 is the new 20,English,Comedy,2009-08-13,18311.00,20000.00,Recoupable Advance,Marketing Program,Amended contract signed  22-JUN-09
2009-2010,P2,Entertainment One Films Canada Inc.,Toronto,Ontario,Canada,Adoration,English,Drama (Film),2009-08-13,184009.00,184009.00,Recoupable Advance,Marketing Program,
2009-2010,P2,Festival canadien des films du monde,Montreal,Quebec,Canada,Festival des films du monde 2009 (33e),French,N/A,2009-08-13,276000.00,276000.00,Grant,Promotion Program,
2009-2010,P2,9012-6640 Québec inc. (K-Films Amérique),Montreal,Quebec,Canada,Sogokuru  (aka SONT OÙ TES ÉLÉPHANTS),French,Action/Adventure,2009-08-14,189760.00,189760.00,Recoupable Advance,Marketing Program,
2009-2010,P2,Bight Interactive Inc.,Charlottetown,Prince Edward Island,Canada,Puzzlings 2,English,Games,2009-08-14,61052.00,61052.00,Recoupable Advance,Production Program (Canada New Media Fund),
2009-2010,P2,Arnait Video Productions Inc.,Montreal,Quebec,Canada,Uvanga - The Visit,English,Drama (Film),2009-08-17,18000.00,18000.00,Recoupable Advance,Development Program,
2009-2010,P2,2802031 Manitoba Inc.,Winnipeg,Manitoba,Canada,Svengali,English,Sci.fi./Fantasy/Tale,2009-08-18,28020.00,28020.00,Recoupable Advance,Development Program,
2009-2010,P2,"Simpson, Bradley",Toronto,Ontario,Canada,Baker's Dozen,English,Comedy,2009-08-18,20050.00,20050.00,Recoupable Advance,Development Program,
2009-2010,P2,Silicon Knights Inc.,St-Catharines,Ontario,Canada,Project X - Action RPG,English,Games,2009-08-18,550000.00,550000.00,Recoupable Advance,Development Program (Canada New Media Fund),
2009-2010,P2,Salambo Productions Inc.,Longueuil,Quebec,Canada,Production de jeux Têtes à claques,French,Games,2009-08-18,230000.00,230000.00,Recoupable Advance,Production Program (Canada New Media Fund),
2009-2010,P2,Cosmos Interactive Inc.,Burnaby,British Columbia,Canada,Babylonian Twins,English,Games,2009-08-19,51814.00,51814.00,Recoupable Advance,Production Program (Canada New Media Fund),
2009-2010,P2,"Stitch Media, Inc.",Halifax,Nova Scotia,Canada,Imaginary Friends,English,Entertainment,2009-08-19,95000.00,95000.00,Recoupable Advance,Development Program (Canada New Media Fund),
2009-2010,P2,Funfilm Distribution Inc.,Montreal,Quebec,Canada,Carcasses,French,Drama (Film),2009-08-19,18216.00,18216.00,Recoupable Advance,International Marketing Program,
2009-2010,P2,Funfilm Distribution Inc.,Montreal,Quebec,Canada,Carcasses,French,Drama (Film),2009-08-19,15000.00,15000.00,Recoupable Advance,Marketing Program,
2009-2010,P2,Clique Pictures Inc.,Toronto,Ontario,Canada,Get Happy,English,Comedy,2009-08-20,24920.00,11200.00,Recoupable Advance,Development Program,Amended contract signed  25-JAN-08
2009-2010,P2,Films Vespera inc. (Les),Montreal,Quebec,Canada,Arthur le preux,French,Drama (Film),2009-08-20,19550.00,19550.00,Recoupable Advance,Development Program,
2009-2010,P2,Media 8 Inc.,Outremont,Quebec,Canada,"Charme, cachet, boiseries",French,Comedy,2009-08-20,19550.00,19550.00,Recoupable Advance,Development Program,
2009-2010,P2,"Goyer , Dominic",Montreal,Quebec,Canada,Lièvres,French,Drama (Film),2009-08-20,19550.00,19550.00,Recoupable Advance,Development Program,
2009-2010,P2,"Kephart, Elza",Outremont,Quebec,Canada,Fantôme de la libération (Le),French,Horror/Thriller,2009-08-20,13822.00,13822.00,Recoupable Advance,Development Program,
