Period,Quarter,Recipient Name,City,Province,Country,Title,Language,Genre,Date,Final Value,Original Value,Type,Purpose,Comments
2016-2017,P4,Picture Plant Limited,Lunenburg,Nova Scotia,Canada,Portfolio 2016-2017 Picture Plant Limited,English,Historical Drama,2017-02-24,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Elevation Pictures Corp.,Toronto,Ontario,Canada,River,English,Thriller,2017-02-24,97874.00,97874.00,Recoupable Advance,Marketing Program,
2016-2017,P4,"Momentum Pictures (Canada), Inc.",Toronto,Ontario,Canada,Milton's Secret,English,Drama,2017-02-27,71421.00,71421.00,Recoupable Advance,Marketing Program,
2016-2017,P4,Axia Films inc.,Montreal,Quebec,Canada,Louise en hiver,French,Drama,2017-02-28,33912.00,33912.00,Recoupable Advance,Marketing Program,
2016-2017,P4,Darius - Padre Productions Inc.,Toronto,Ontario,Canada,Padre (The),English,Drama,2017-03-01,1500000.00,1500000.00,Investment,Production Program,
2016-2017,P4,A71 Entertainment Inc.,Toronto,Ontario,Canada,Skyjacker's Tale (The),English,Documentary,2017-03-01,37000.00,37000.00,Recoupable Advance,Marketing Program,
2016-2017,P4,Mongrel Media Inc.,Toronto,Ontario,Canada,Window Horses,English,Drama,2017-03-01,143625.00,143625.00,Recoupable Advance,Marketing Program,
2016-2017,P4,Films Séville Inc. (Les) / Seville Pictures Inc.,Montreal,Quebec,Canada,Fils de Jean (Le),French,Drama,2017-03-03,47033.00,47033.00,Recoupable Advance,Marketing Program,
2016-2017,P4,Invisible Light Productions Manitoba Inc.,Winnipeg,Manitoba,Canada,Into Invisible Light,English,Drama,2017-03-03,300000.00,300000.00,Investment,Production Program,
2016-2017,P4,Darius - Padre Productions Inc.,Toronto,Ontario,Canada,Padre (The),English,Drama,2017-03-03,0.00,119280.00,Recoupable Advance,Production Program,Amended contract signed  16-NOV-16
2016-2017,P4,Films Séville Inc. (Les) / Seville Pictures Inc.,Montreal,Quebec,Canada,Père fils thérapie,French,Comedy,2017-03-03,43535.00,43535.00,Recoupable Advance,Marketing Program,
2016-2017,P4,Raven Banner Releasing Inc.,Toronto,Ontario,Canada,Considering Love and Other Magic,English,Drama,2017-03-07,101700.00,101700.00,Recoupable Advance,Marketing Program,
2016-2017,P4,Karma Film Inc.,Saskatoon,Saskatchewan,Canada,Portfolio 2016-2017 Karma Film Inc.,English,Drama,2017-03-08,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Bad Astronaut Inc.,Halifax,Nova Scotia,Canada,Hopeless (Romantic),English,Romantic Comedy,2017-03-09,450000.00,450000.00,Investment,Production Program,
2016-2017,P4,Alyson Richards Productions Inc.,Hamilton,Ontario,Canada,Portfolio 2016-2017 Alyson Richards Productions Inc.,English,Romantic Comedy,2017-03-09,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Voyelles Plages Inc.,Montreal,Quebec,Canada,TWENTIETH CENTURY (THE),English,Historical Drama,2017-03-09,500000.00,500000.00,Investment,Production Program,
2016-2017,P4, SPF (TBS) Productions Inc.,Toronto,Ontario,Canada,Through Black Spruce,English,Drama,2017-03-09,2800000.00,2800000.00,Investment,Production Program,
2016-2017,P4,Raven Banner Releasing Inc.,Toronto,Ontario,Canada,Todd & The Book of Pure Evil: The End of The End,English,Comedy,2017-03-09,19350.00,19350.00,Recoupable Advance,Marketing Program,
2016-2017,P4,White Pine Pictures Inc.,Toronto,Ontario,Canada,When the Universe Sings: The Spiritual Journey of Lawren Harris,English,Documentary,2017-03-09,28050.00,28050.00,Recoupable Advance,Marketing Program,
2016-2017,P4,Bah Humbug Films Inc.,Toronto,Ontario,Canada,Man Who Invented Christmas (The),English,Historical Drama,2017-03-10,1225000.00,1225000.00,Investment,Production Program,
2016-2017,P4,Rhombus Media Inc.,Toronto,Ontario,Canada,Man Who Invented Christmas (The),English,Historical Drama,2017-03-10,0.00,230000.00,Recoupable Advance,Production Program,Amended contract signed  06-DEC-16
2016-2017,P4,Never Saw It Coming Productions Inc.,Toronto,Ontario,Canada,Never Saw It Coming,English,Thriller,2017-03-10,350000.00,350000.00,Investment,Production Program,
2016-2017,P4,Jobro Productions Inc.,Toronto,Ontario,Canada,Portfolio 2016-2017 Jobro Productions Inc.,English,Mystery/Crime/Police,2017-03-13,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Mongrel Media Inc.,Toronto,Ontario,Canada,Unless,English,Drama,2017-03-14,76725.00,76725.00,Recoupable Advance,Marketing Program,
2016-2017,P4,9152-3068 Québec Inc. ,Montreal,Quebec,Canada,Jardinier (Le) / The Gardener,French,Documentary,2017-03-15,12312.00,12312.00,Recoupable Advance,Marketing Program,
2016-2017,P4,Story Engine Pictures Inc.,Halifax,Nova Scotia,Canada,Portfolio 2016-2017 Story Engine Pictures Inc.,English,Drama,2017-03-15,30000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Story Engine Pictures Inc.,Halifax,Nova Scotia,Canada,Portfolio 2016-2017 Story Engine Pictures Inc.,English,Comedy,2017-03-15,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,Breadwinner Canada Inc.,Toronto,Ontario,Canada,Breadwinner (The),English,Drama,2017-03-16,1800000.00,1650000.00,Investment,Production Program,Amended contract signed  26-FEB-16
2016-2017,P4,Devout Productions Ltd.,Victoria,British Columbia,Canada,Devout (The),English,Drama,2017-03-16,30250.00,30250.00,Recoupable Advance,Marketing Program,
2016-2017,P4,Films Séville Inc. (Les) / Seville Pictures Inc.,Montreal,Quebec,Canada,IQALUIT,French,Drama,2017-03-16,77339.00,77339.00,Recoupable Advance,Marketing Program,
2016-2017,P4,Les Films Rivière inc.,Montreal,Quebec,Canada,Restless River,English,Drama,2017-03-20,750000.00,750000.00,"Investment, Recoupable Advance",Production Program,
2016-2017,P4,Plausible Communications Corporation d/b/a Prospero Pictures,Toronto,Ontario,Canada,Portfolio 2014-2015 Plausible Communications Corporation,English,Science fiction/Fantasy/Tale,2017-03-22,176725.00,24640.00,Recoupable Advance,Development Program,Amended contract signed  02-MAR-15
2016-2017,P4,Films Séville Inc. (Les) / Seville Pictures Inc.,Montreal,Quebec,Canada,Ballerina ,English,Drama,2017-03-23,1222370.00,1222370.00,Recoupable Advance,Marketing Program,
2016-2017,P4,"Films Christal, s.e.c.(Les), agissant par l'intermédiaire de son commandité, Les Films Christal Inc",Montreal,Quebec,Canada,C'est le coeur qui meurt en dernier,French,Drama,2017-03-23,169046.00,169046.00,Recoupable Advance,Marketing Program,
2016-2017,P4,Terrifying Movie Inc.,Halifax,Nova Scotia,Canada,Halloween Party,English,Horror,2017-03-23,500000.00,450000.00,Investment,Production Program,Amended contract signed  25-FEB-16
2016-2017,P4,Mongrel Media Inc.,Toronto,Ontario,Canada,Mostly Sunny,English,Documentary,2017-03-23,195000.00,195000.00,Recoupable Advance,Marketing Program,
2016-2017,P4,The New Romantic Inc.,Vancouver,British Columbia,Canada,The New Romantic (formerly The Undergraduate),English,Comedy,2017-03-23,350000.00,350000.00,Investment,Production Program,
2016-2017,P4,Films Séville Inc. (Les) / Seville Pictures Inc.,Montreal,Quebec,Canada,Ça sent la coupe,French,Drama,2017-03-23,240867.00,240867.00,Recoupable Advance,Marketing Program,
2016-2017,P4,A71 Entertainment Inc.,Toronto,Ontario,Canada,Chokeslam,English,Romantic Comedy,2017-03-24,82000.00,82000.00,Recoupable Advance,Marketing Program,
2016-2017,P4,1 Degree Pictures Inc.,Toronto,Ontario,Canada,Portfolio 2016-2017 1 Degree Pictures Inc.,English,Romantic Comedy,2017-03-24,15000.00,15000.00,Recoupable Advance,Development Program,
2016-2017,P4,SuperGrid Film Productions Inc.,Regina,Saskatchewan,Canada,Supergrid,English,Action/Adventure,2017-03-24,350000.00,350000.00,Investment,Production Program,
2016-2017,P4,Le Film Happy Face Inc.,Montreal,Quebec,Canada,HAPPY FACE,English,Drama,2017-03-27,650000.00,650000.00,"Investment, Recoupable Advance",Production Program,
2016-2017,P4,Artesian Films Inc.,Montreal,Quebec,Canada,Putti-sur la route de Jérusalem,French,Documentary,2017-03-28,15000.00,15000.00,Recoupable Advance,Mini-treaties,
2016-2017,P4,Productions Dixie Inc. (les),Montreal,Quebec,Canada,Out Late,English,Comedy,2017-03-29,1500000.00,1500000.00,Investment,Production Program,
